school_code,geographic_zone,school_type,data_source,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,term_3_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,leap_beneficiary_status,travel_time_to_school,mode_of_transport_to_school,govt_support,parent_guardian_education_level,parent_guardian_occupation,no_of_siblings_in_school,home_has_electricity,own_textbooks,daily_study_hours_at_home,safety_at_home,safety_at_school,teacher_support_rating,school_enjoyment,missed_school_for_choreswork,missed_school_due_to_illness,barriers_to_regular_attendance,family_income_level,parent_attends_school_events,behaviour_warnings_punishments,class_participation,extracurricular_activities,dropout_label
0,1,1,0,0,10.1,2,5,81.7,78.3,79.2,63.6,69.1,62.0,71,64.05,2,1,2,2,3,5,35,1,6,0,5.0,5.4,5.1,4.8,2,1,3,2,5,2,4.9,0,0
0,1,1,0,0,13.0,1,10,78.0,83.0,75.0,71.0,63.0,70.0,103,68.0,0,3,1,2,5,1,44,1,1,0,4.0,3.0,3.0,4.0,2,1,1,4,3,2,4.0,0,0
3,1,1,0,1,13.0,1,0,86.0,99.0,99.0,87.0,62.0,91.0,151,79.0,0,1,1,1,5,1,33,1,0,0,5.0,5.0,5.0,5.0,0,1,3,2,1,2,5.0,0,0
3,1,1,0,1,13.0,1,0,93.0,91.0,91.0,92.0,55.0,93.0,43,73.75,2,1,1,0,5,4,5,1,6,2,3.0,5.0,3.0,5.0,0,1,3,4,1,2,5.0,0,0
0,1,1,0,0,12.2,0,0,81.6,94.6,89.3,58.1,68.7,73.4,104,67.15,0,0,1,2,4,4,46,1,6,2,5.2,3.9,3.0,3.4,2,1,1,4,1,3,3.4,0,0
3,1,1,0,0,6.0,2,0,79.1,81.4,84.9,66.3,57.4,69.4,103,65.275,0,3,1,2,4,4,36,1,6,2,1.4,2.8,2.6,3.7,2,1,6,4,3,3,2.0,0,0
1,0,1,0,1,13.6,0,0,76.6,71.6,71.6,70.4,69.3,61.9,125,68.325,0,0,1,2,4,4,11,1,1,0,2.7,4.6,3.5,3.9,2,1,6,4,3,2,4.2,0,0
1,0,1,1,0,11.0,1,0,81.0,70.0,81.0,56.0,76.0,72.0,61,66.0,2,0,1,2,5,0,0,1,3,0,3.5,3.0,3.0,3.0,0,1,4,4,1,2,4.0,1,0
1,0,1,0,0,13.3,1,5,79.3,88.7,86.1,80.8,87.7,85.3,186,85.25,0,0,2,2,5,0,22,1,6,0,5.1,2.7,3.2,4.2,0,1,3,2,5,2,2.5,0,0
1,0,1,1,0,12.0,1,0,79.0,85.0,76.0,75.0,85.0,67.0,139,75.25,0,0,1,1,5,0,33,1,5,1,4.0,5.0,4.0,1.0,5,1,3,4,5,2,4.0,0,0
1,0,1,0,1,11.3,1,1,90.6,91.1,90.2,91.6,62.0,78.0,114,75.5,0,4,2,1,5,0,33,1,5,2,5.6,1.1,5.4,4.6,3,1,3,4,1,2,4.5,1,0
1,0,1,0,0,12.0,4,0,88.0,94.0,87.0,81.0,82.0,93.0,176,85.0,0,0,1,2,5,4,44,1,5,2,4.0,5.0,4.0,4.0,0,1,3,2,3,2,4.0,1,0
1,0,1,0,1,13.0,0,10,70.0,75.0,66.0,45.0,47.0,56.0,19,48.75,0,3,2,1,4,4,33,1,6,2,3.0,4.0,3.0,4.0,2,1,6,4,1,3,4.0,0,1
3,1,1,0,0,6.0,2,14,20.0,37.0,0.0,25.0,18.0,24.0,6,25.75,0,5,2,1,1,2,0,0,1,1,2.0,4.0,2.0,1.0,2,6,2,3,2,2,2.0,0,1
3,1,1,0,1,6.0,2,0,88.0,92.0,92.0,94.0,73.0,61.0,72,72.5,2,0,1,0,5,3,20,1,6,0,3.0,3.0,3.0,3.0,0,1,3,4,1,3,3.0,0,0
1,0,1,0,0,13.0,0,0,86.0,82.0,89.0,69.0,70.0,75.0,145,72.25,0,3,1,2,5,4,5,1,6,0,3.0,4.0,5.0,5.0,2,1,6,4,5,3,4.0,0,0
2,0,0,0,1,12.0,0,0,82.0,86.0,80.0,73.0,68.0,69.0,127,70.5,0,3,1,2,4,4,20,1,6,2,3.0,4.0,5.0,4.0,2,1,6,4,5,2,4.0,0,0
3,1,1,0,0,5.0,2,14,20.0,37.0,0.0,25.0,15.0,33.0,3,26.5,0,5,2,1,3,2,14,0,0,1,2.0,1.0,1.0,1.0,2,5,3,3,5,3,2.0,0,1
3,1,1,0,0,13.0,1,0,85.0,89.0,89.0,80.0,92.0,87.0,81,80.75,2,0,1,0,4,4,20,1,6,2,3.0,3.0,3.0,3.0,0,1,3,2,5,2,3.0,1,0
3,1,1,0,0,13.0,1,0,89.0,89.0,89.0,60.0,93.0,85.0,100,76.25,2,1,2,2,5,5,20,1,6,2,3.0,5.0,3.0,5.0,0,3,3,4,1,2,5.0,1,0
1,0,1,0,1,12.0,4,0,86.0,87.0,92.0,68.0,66.0,78.0,162,72.75,0,0,2,1,5,0,20,1,5,0,4.0,4.0,3.0,3.0,2,6,1,2,5,3,4.0,0,0
3,1,1,0,1,12.0,0,0,94.0,94.0,94.0,69.0,45.0,71.0,127,64.25,2,5,1,2,1,4,44,0,1,2,3.0,3.0,3.0,3.0,0,3,3,3,5,2,3.0,0,0
1,0,1,0,0,12.1,0,12,92.4,86.8,93.2,61.2,66.6,71.8,114,67.5,0,2,2,2,4,1,35,1,6,2,4.1,5.0,3.8,5.2,0,6,3,4,1,2,4.5,1,0
3,1,1,0,1,8.0,3,7,79.9,81.8,85.5,65.4,68.7,60.8,85,64.92500000000001,0,3,2,2,5,5,13,1,6,2,3.4,3.0,3.7,4.0,2,1,6,4,3,2,4.0,0,0
2,0,0,0,0,14.1,1,0,81.3,84.8,90.3,64.3,71.7,60.5,73,64.7,0,3,1,2,5,5,10,1,6,2,3.5,2.5,3.9,4.0,2,1,6,4,3,2,4.5,0,0
3,1,1,0,1,10.0,3,5,86.4,89.6,83.2,62.2,58.5,59.6,83,61.2,0,3,2,1,1,1,33,1,6,0,4.2,3.4,4.6,4.8,2,1,6,4,4,3,4.1,0,0
1,0,1,0,1,12.9,1,1,85.6,85.6,80.3,68.1,64.1,64.0,161,68.725,0,5,1,1,5,0,21,1,5,2,3.9,5.1,5.0,4.8,0,6,3,2,1,2,5.6,1,0
1,0,1,0,1,9.1,2,1,75.0,77.7,74.4,63.3,67.3,53.2,50,60.3,0,0,2,2,1,1,33,1,1,0,4.4,4.9,5.3,4.8,2,1,1,4,4,3,5.0,1,0
3,1,1,0,1,13.0,1,0,97.0,90.0,90.0,85.0,84.0,71.0,177,81.25,1,5,1,0,5,1,5,1,6,0,3.0,2.0,3.0,2.0,0,1,3,2,1,2,2.0,0,0
1,0,1,0,0,12.6,1,0,93.0,80.6,81.6,67.3,69.5,60.0,112,66.65,0,3,2,1,5,0,7,1,5,0,1.4,3.5,4.5,5.4,3,1,3,2,5,2,4.2,2,0
3,1,1,0,0,6.0,2,7,83.5,86.0,82.6,78.8,72.1,81.3,176,79.05,0,3,1,1,5,5,57,1,6,2,3.9,4.1,4.6,2.7,2,1,3,4,3,3,4.1,1,0
1,0,1,0,1,13.4,1,3,85.1,87.4,93.1,85.0,93.8,87.6,192,89.02499999999999,0,0,2,2,5,0,50,1,5,2,4.2,5.2,4.2,4.4,0,1,3,2,5,2,3.1,0,0
3,1,1,0,0,12.0,4,0,86.0,95.0,95.0,64.0,70.0,78.0,12,63.75,2,3,1,2,5,0,20,1,6,0,3.0,5.0,3.0,5.0,2,1,3,2,1,3,5.0,0,0
3,1,1,0,1,13.0,1,0,89.0,89.0,89.0,84.0,87.0,91.0,162,85.25,1,1,1,0,5,5,5,1,6,1,3.0,3.0,3.0,3.0,0,1,3,4,2,2,3.0,0,0
3,1,1,0,1,13.0,1,0,86.0,95.0,95.0,76.0,41.0,76.0,36,61.5,1,1,2,0,5,5,5,1,6,2,3.0,5.0,3.0,5.0,0,3,3,4,1,3,5.0,0,0
0,1,1,0,0,10.0,2,0,84.0,82.0,86.0,78.0,74.0,67.0,153,74.0,0,3,2,2,5,1,20,1,6,0,5.0,4.0,5.0,5.0,2,1,1,4,1,2,4.0,0,0
1,0,1,0,0,13.0,0,0,88.0,93.0,93.0,89.0,82.0,84.0,167,84.0,0,3,1,1,5,1,44,1,6,0,3.0,4.0,5.0,4.0,2,1,3,4,5,3,4.0,0,0
3,1,1,0,1,12.0,0,0,88.0,92.0,92.0,67.0,75.0,78.0,46,69.0,2,1,1,2,1,1,20,0,6,0,5.0,5.0,5.0,5.0,0,4,3,4,1,2,5.0,0,0
1,0,1,1,0,13.0,1,0,70.0,71.0,82.0,72.0,59.0,75.0,36,64.75,2,0,1,2,5,0,5,1,2,0,4.5,5.0,3.0,4.0,0,1,3,0,2,2,3.0,1,0
1,0,1,0,0,9.5,0,0,79.9,97.4,83.0,78.0,72.5,57.9,169,72.525,1,1,2,0,0,0,47,1,6,1,5.2,3.7,5.2,1.7,0,3,3,4,5,2,4.0,1,0
0,1,1,0,0,10.0,3,0,79.0,87.0,97.0,71.0,71.0,64.0,68,66.75,0,5,2,1,1,0,20,1,6,1,5.0,5.0,5.0,5.0,2,1,3,2,1,2,5.0,0,0
3,1,1,0,1,13.0,1,0,96.0,93.0,93.0,58.0,74.0,81.0,151,72.25,2,1,1,2,4,5,33,1,6,2,3.0,3.0,3.0,3.0,0,1,3,0,5,2,3.0,0,0
3,1,1,0,1,13.0,1,0,97.0,98.0,98.0,74.0,51.0,63.0,58,61.75,2,5,1,0,5,1,44,1,5,2,3.0,5.0,3.0,5.0,2,1,3,0,5,2,5.0,0,0
2,0,0,0,1,12.9,1,1,78.6,77.3,86.4,70.1,69.7,77.5,128,72.35,0,1,1,2,4,1,52,1,6,2,4.4,3.7,5.3,4.8,2,1,2,4,5,3,3.8,0,0
1,0,1,0,0,13.9,0,0,71.2,70.4,69.1,46.1,51.6,50.1,25,49.275000000000006,0,3,2,1,4,1,11,1,0,2,2.9,2.6,3.5,2.7,2,5,6,3,5,3,1.8,0,1
3,1,1,0,0,8.0,3,0,90.0,71.0,77.0,70.0,69.0,64.0,151,69.75,0,0,1,1,5,0,55,1,5,0,5.0,1.0,5.0,1.0,0,1,3,4,1,2,5.0,0,0
0,1,1,0,0,10.0,2,0,86.0,84.0,79.0,66.0,54.0,68.0,58,61.75,2,0,1,2,1,2,44,1,6,1,4.0,3.0,5.0,5.0,0,1,3,3,5,2,5.0,0,0
3,1,1,0,1,12.0,0,0,96.0,90.0,90.0,88.0,94.0,83.0,191,88.5,0,1,1,1,5,4,33,1,6,0,3.0,3.0,3.0,3.0,2,1,3,4,1,2,3.0,0,0
1,0,1,0,0,14.0,1,0,77.0,83.0,74.0,72.0,60.0,69.0,127,68.25,0,3,1,2,5,5,33,1,1,2,4.0,5.0,3.0,2.0,2,1,6,4,1,2,2.0,0,0
1,0,1,0,1,10.0,3,0,86.0,78.0,83.0,79.0,73.0,75.0,153,76.0,0,3,1,2,5,0,33,1,6,2,3.0,5.0,4.0,4.0,2,1,6,4,1,3,5.0,1,0
3,1,1,0,1,7.0,2,1,77.8,80.5,83.4,70.7,56.7,76.3,87,67.19999999999999,0,3,1,2,4,4,27,1,6,2,1.7,2.8,3.0,4.0,2,1,6,4,3,3,1.9,0,0
3,1,1,0,0,11.0,3,0,85.0,87.0,90.0,68.0,57.0,57.0,78,61.25,0,3,2,2,1,1,20,1,1,1,4.0,3.0,4.0,3.0,2,1,1,4,3,3,2.0,0,0
1,0,1,0,1,13.0,1,0,75.0,70.0,75.0,61.0,56.0,54.0,36,56.0,0,0,2,2,1,5,20,1,6,1,4.0,4.0,3.0,4.0,2,1,1,4,3,1,2.0,0,0
1,0,1,1,1,11.0,1,0,84.0,78.0,88.0,73.0,77.0,75.0,68,71.5,0,0,1,1,5,0,20,1,5,2,3.0,1.0,5.0,1.0,0,1,3,4,3,2,5.0,0,0
1,0,1,0,0,13.0,1,0,85.0,81.0,89.0,64.0,70.0,66.0,81,66.0,0,0,1,2,0,5,20,1,1,0,4.0,5.0,3.0,5.0,2,1,1,4,2,2,4.0,1,0
3,1,1,0,1,7.0,2,0,79.1,81.4,84.9,66.3,57.4,69.4,103,65.275,0,3,1,2,4,4,36,1,6,2,1.4,2.8,2.6,3.7,2,1,6,4,3,3,2.0,0,0
1,0,1,1,0,12.0,1,0,82.0,88.0,70.0,75.0,61.0,74.0,72,68.0,2,1,1,2,5,0,44,1,4,2,5.0,4.5,5.0,4.0,0,1,1,0,5,2,4.0,1,0
3,1,1,0,0,7.0,2,14,20.0,37.0,0.0,26.0,36.0,48.0,36,40.75,0,5,2,1,1,2,64,0,6,1,2.0,2.0,2.0,1.0,2,1,1,3,2,1,1.0,0,1
1,0,1,0,1,13.0,1,0,91.0,94.0,92.0,82.0,91.0,89.0,179,87.0,0,0,1,2,5,0,55,1,5,2,4.0,5.0,4.0,4.0,0,1,3,2,5,2,3.0,0,0
3,1,1,0,1,7.0,3,11,72.8,99.5,85.3,63.5,58.8,53.0,155,63.150000000000006,0,3,1,1,1,0,49,1,6,1,5.2,4.9,4.7,5.2,2,5,2,2,1,2,4.6,1,0
1,0,1,0,0,11.8,0,0,73.6,74.5,77.7,56.6,61.4,56.9,70,59.025000000000006,0,3,1,2,5,0,41,1,6,0,1.9,3.6,3.0,4.0,2,1,6,4,3,2,2.0,0,0
1,0,1,0,1,14.0,1,0,86.0,86.0,78.0,65.0,67.0,68.0,81,66.0,0,0,1,2,1,1,5,1,6,0,5.0,5.0,4.0,4.0,2,1,1,4,4,3,4.0,0,0
3,1,1,0,1,13.0,1,0,94.0,91.0,91.0,82.0,87.0,59.0,197,80.5,2,5,1,2,4,5,5,1,6,0,3.0,3.0,3.0,3.0,0,4,3,4,1,2,3.0,0,0
3,1,1,0,1,7.0,3,14,20.0,37.0,0.0,30.0,33.0,40.0,18,37.25,0,5,2,1,1,2,61,0,6,1,3.0,1.0,1.0,5.0,2,5,6,3,5,3,1.0,1,1
3,1,1,0,0,13.0,1,10,94.0,95.0,95.0,68.0,84.0,67.0,159,74.25,2,1,1,2,5,4,33,0,6,2,5.0,3.0,5.0,3.0,0,4,3,4,5,2,3.0,0,0
0,1,1,0,1,14.0,1,0,74.0,81.0,78.0,67.0,54.0,68.0,52,61.75,0,0,1,1,4,5,5,1,6,2,3.0,3.0,4.0,4.0,2,1,1,3,3,2,4.0,0,0
3,1,1,0,0,7.0,2,0,78.0,74.0,80.0,66.0,74.0,70.0,139,71.0,0,0,1,2,5,4,55,1,1,2,4.0,4.0,3.0,4.0,2,1,1,4,5,2,4.0,0,0
1,0,1,0,1,11.3,2,0,79.7,75.0,80.8,62.2,56.6,63.5,52,60.075,0,3,2,2,5,5,42,1,0,0,2.2,4.8,5.6,4.1,2,6,6,3,3,2,5.1,0,0
3,1,1,0,0,6.0,2,1,78.6,77.3,86.4,70.1,69.7,77.5,128,72.35,0,1,1,2,4,1,52,1,6,2,4.4,3.7,5.3,4.8,2,1,2,4,5,3,3.8,0,0
2,0,0,0,1,14.0,0,0,78.0,82.0,78.0,57.0,50.0,59.0,81,57.5,0,3,2,2,4,4,44,1,6,0,2.0,5.0,4.0,2.0,2,1,6,4,1,2,2.0,0,0
1,0,1,0,0,15.3,1,1,74.0,77.3,74.4,51.2,49.3,53.4,38,51.85,2,3,1,2,0,1,13,1,0,1,2.3,2.8,4.4,5.2,2,1,6,3,3,2,4.7,0,0
3,1,1,0,1,7.0,2,1,78.6,77.3,86.4,70.1,69.7,77.5,128,72.35,0,1,1,2,4,1,52,1,6,2,4.4,3.7,5.3,4.8,2,1,2,4,5,3,3.8,0,0
1,0,1,0,0,12.0,4,0,87.0,86.0,89.0,73.0,75.0,76.0,162,75.75,0,0,2,1,5,5,20,1,6,0,3.0,5.0,3.0,4.0,0,6,0,4,3,2,4.0,1,0
3,1,1,0,1,12.0,0,14,98.0,99.0,99.0,70.0,47.0,90.0,81,67.75,2,1,1,2,5,1,44,1,6,0,3.0,2.0,3.0,2.0,2,1,3,4,3,2,2.0,1,0
1,0,1,1,1,12.0,0,0,87.0,76.0,81.0,37.0,57.0,66.0,49,54.25,0,0,1,1,5,0,5,1,5,0,4.0,2.0,3.0,1.0,0,3,0,4,5,2,3.0,0,0
3,1,1,0,1,12.0,0,0,88.0,90.0,90.0,77.0,93.0,67.0,78,75.0,0,1,2,1,5,1,44,1,6,0,3.0,3.0,3.0,3.0,2,3,3,2,1,2,3.0,0,0
3,1,1,0,0,7.0,3,18,20.0,37.0,0.0,33.0,19.0,36.0,2,29.5,0,5,2,1,1,2,5,0,0,1,2.0,2.0,2.0,1.0,2,5,6,3,2,0,1.0,0,1
3,1,1,0,0,13.0,1,0,92.0,93.0,93.0,93.0,92.0,71.0,195,87.0,1,0,1,0,4,0,20,1,6,2,3.0,3.0,3.0,3.0,0,4,3,4,1,2,3.0,0,0
1,0,1,0,1,14.0,1,0,76.0,75.0,80.0,55.0,58.0,59.0,31,56.0,2,0,2,2,1,1,20,1,6,0,4.0,4.0,4.0,4.0,0,1,3,3,5,2,5.0,0,0
2,0,0,0,0,13.0,1,0,91.0,95.0,94.0,73.0,80.0,70.0,159,75.25,0,3,1,2,4,1,20,1,6,0,4.0,4.0,4.0,5.0,0,1,3,4,5,3,4.0,0,0
0,1,1,0,0,14.0,1,0,80.0,75.0,74.0,61.0,48.0,55.0,78,56.75,0,0,2,2,4,1,44,1,6,2,3.0,3.0,3.0,3.0,2,1,6,4,5,2,3.0,0,0
3,1,1,0,0,13.0,1,0,90.0,92.0,92.0,61.0,92.0,81.0,193,81.0,2,1,2,2,4,4,65,1,6,0,4.0,3.0,4.0,3.0,0,3,3,4,1,2,3.0,0,0
1,0,1,0,0,14.0,0,0,88.0,86.0,87.0,84.0,83.0,80.0,159,81.25,0,3,1,2,5,1,20,1,6,0,5.0,4.0,4.0,4.0,0,1,3,4,5,2,3.0,0,0
2,0,0,0,1,12.0,0,0,79.0,79.0,84.0,68.0,57.0,72.0,103,66.25,0,3,1,2,4,4,33,1,6,2,2.0,3.0,3.0,4.0,2,1,6,4,3,3,2.0,0,0
3,1,1,0,1,13.0,1,10,86.0,93.0,93.0,89.0,66.0,64.0,193,77.25,0,0,1,1,5,4,5,1,6,0,3.0,3.0,3.0,3.0,0,4,3,4,2,2,3.0,0,0
3,1,1,0,0,13.0,1,0,95.0,97.0,97.0,90.0,45.0,91.0,196,79.75,2,5,1,0,4,1,5,1,5,2,5.0,2.0,5.0,2.0,0,1,3,2,1,2,2.0,0,0
2,0,0,0,0,12.0,0,0,76.0,79.0,82.0,64.0,64.0,69.0,58,64.0,0,3,2,2,1,5,33,1,6,0,4.0,4.0,3.0,4.0,2,1,1,4,3,2,2.0,0,0
2,0,0,0,0,12.6,1,8,73.6,70.1,65.9,54.4,61.9,56.3,59,57.95,0,3,2,1,0,4,42,1,6,1,4.1,4.4,3.6,4.1,2,6,6,4,2,2,2.8,0,0
3,1,1,0,0,12.0,4,0,95.0,88.0,88.0,71.0,55.0,60.0,127,64.5,2,3,1,2,1,0,33,1,6,2,4.0,5.0,4.0,5.0,2,1,3,4,5,2,5.0,0,0
3,1,1,0,0,12.0,0,0,97.0,99.0,99.0,70.0,71.0,69.0,39,66.0,2,5,1,2,4,4,44,0,6,2,5.0,5.0,5.0,5.0,0,1,3,3,1,3,5.0,1,0
0,1,1,0,0,13.0,0,10,84.0,90.0,81.0,79.0,76.0,82.0,176,80.25,0,3,1,1,5,5,55,1,6,2,4.0,4.0,4.0,3.0,2,1,3,4,3,3,4.0,1,0
3,1,1,0,0,13.0,1,0,91.0,97.0,97.0,89.0,83.0,81.0,100,80.0,2,1,1,2,5,5,20,1,6,2,3.0,5.0,3.0,5.0,0,1,3,4,1,2,5.0,0,0
3,1,1,0,1,13.0,1,0,87.0,92.0,92.0,87.0,95.0,90.0,81,84.0,2,5,1,0,4,4,33,1,5,2,3.0,5.0,3.0,5.0,0,1,3,0,5,2,5.0,1,0
3,1,1,0,1,6.0,2,14,20.0,37.0,0.0,64.0,33.0,36.0,43,47.0,0,5,2,1,1,1,5,0,0,1,2.0,2.0,2.0,1.0,2,5,5,3,2,1,1.0,0,1
3,1,1,0,1,7.0,2,7,83.5,86.0,82.6,78.8,72.1,81.3,176,79.05,0,3,1,1,5,5,57,1,6,2,3.9,4.1,4.6,2.7,2,1,3,4,3,3,4.1,1,0
3,1,1,0,1,9.0,3,0,75.0,79.0,76.0,66.0,66.0,71.0,86,67.0,0,3,2,1,4,1,33,1,6,2,3.0,5.0,4.0,4.0,2,6,6,4,5,3,4.0,0,0
1,0,1,0,1,9.0,2,0,85.0,91.0,83.0,74.0,75.0,66.0,113,71.25,0,0,2,2,4,1,44,1,1,0,4.0,3.0,5.0,4.0,2,1,1,4,3,3,5.0,0,0
3,1,1,0,1,13.0,1,0,87.0,99.0,99.0,94.0,56.0,65.0,185,75.5,1,0,2,0,4,1,33,1,0,2,3.0,5.0,3.0,5.0,0,1,3,3,3,2,5.0,0,0
1,0,1,0,1,13.0,0,0,88.0,93.0,92.0,75.0,75.0,69.0,107,72.0,0,1,1,2,1,4,55,1,6,0,4.0,3.0,4.0,4.0,0,6,2,2,3,2,3.0,0,0
0,1,1,0,0,11.0,3,10,87.0,70.0,83.0,77.0,52.0,80.0,133,70.5,0,5,2,1,1,0,20,1,6,1,5.0,5.0,5.0,5.0,2,5,1,2,1,2,5.0,2,0
1,0,1,0,1,13.0,1,0,79.0,79.0,76.0,65.0,79.0,71.0,127,71.75,0,0,2,2,4,1,20,1,6,0,5.0,4.0,4.0,3.0,2,1,1,4,3,2,4.0,1,0
3,1,1,0,0,12.0,4,0,88.0,88.0,88.0,94.0,89.0,52.0,197,82.25,2,3,2,2,1,4,33,1,6,2,4.0,2.0,4.0,2.0,2,1,3,3,5,3,2.0,0,0
1,0,1,1,1,13.0,1,0,76.0,82.0,74.0,64.0,55.0,88.0,113,69.25,0,1,1,1,4,0,33,1,3,2,5.0,2.0,3.0,3.0,0,5,3,0,5,2,4.0,1,0
3,1,1,0,0,6.0,2,14,20.0,37.0,0.0,27.0,27.0,14.0,81,33.0,0,1,2,1,3,1,18,0,1,1,3.0,1.0,2.0,5.0,2,5,5,3,2,3,2.0,0,1
0,1,1,0,1,9.0,2,0,80.0,85.0,79.0,64.0,59.0,60.0,100,62.5,2,3,2,2,4,5,20,1,0,2,4.0,4.0,4.0,2.0,0,1,3,3,4,2,2.0,0,0
1,0,1,0,0,14.0,1,0,79.0,83.0,85.0,70.0,60.0,65.0,93,65.25,0,3,1,2,5,1,5,1,1,0,3.0,3.0,3.0,4.0,2,6,6,4,3,3,2.0,0,0
