school_code,geographic_zone,school_type,data_source,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,term_3_attendance,average_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,school_feeding_status,leap_beneficiary_status,travel_time_to_school,mode_of_transport_to_school,govt_support,parent_guardian_education_level,parent_guardian_occupation,no_of_siblings_in_school,home_has_electricity,own_textbooks,daily_study_hours_at_home,safety_at_home,safety_at_school,teacher_support_rating,school_enjoyment,missed_school_for_choreswork,missed_school_due_to_illness,barriers_to_regular_attendance,family_income_level,parent_attends_school_events,behaviour_warnings_punishments,class_participation,extracurricular_activities,dropout_label
WEWE,Rural,Public,Both,Female,5.0,P4,2,20.0,37.0,0.0,19.0,27.0,15.0,40.0,30,28.0,1,No,More than 1 hour,Walk,No,JHS,No paid work,1,0,No textbooks,Less than 1 hr,2.0,2.0,2.0,1.0,Yes,Yes-more than once,Work to earn,Low,Never,2-3 times,1.0,,1
WEWE,Rural,Public,Both,Male,6.0,P4,0,85.0,87.0,90.0,87.33333333333333,68.0,57.0,57.0,63,61.25,1,No,Less than 15 min,Walk,Yes,JHS,Farming/fishing,2,1,No-borrow/share,Less than 1 hr,4.0,3.0,4.0,3.0,Yes,No,Help at home,Medium,Often,Once,2.0,,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,91.0,99.0,99.0,96.33333333333331,50.0,55.0,64.0,73,60.5,1,No,15-30 min,Car/trotro/bus,No,SHS,Farming/fishing,3,0,Yes-some subjects,1-2 hrs,5.0,5.0,5.0,5.0,Yes,No,Nothing-come regularly,Medium,Always,Never,5.0,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Male,11.3,JHS1,0,84.3,77.5,79.9,79.9,65.7,61.5,71.8,49.6,62.15,0,Unknown,15-30 min,Walk,Don't know,SHS,Employed,1,1,Yes-some subjects,1-2 hrs,3.3,1.9,2.8,2.3,No,"Yes, more than once",Nothing-come regularly,Medium,Rarely,Once,1.8,2 activities,0
KNU_JHS,Peri-urban,Public,Questionnaire,Male,10.0,JHS1,0,70.0,79.0,74.0,74.33333333333333,73.0,59.0,54.0,84,67.5,0,Unknown,Less than 15 min,Car/trotro/bus,Don't know,Tertiary,Employed,2,1,Yes-some subjects,More than 2 hrs,5.0,5.0,3.0,1.0,Yes,"Yes, more than once",Health problems,Medium,Sometimes,Never,5.0,2 activities,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,96.0,98.0,98.0,97.33333333333331,48.0,86.0,93.0,96,80.75,1,Yes,15-30 min,Car/trotro/bus,Yes,Tertiary,Farming/fishing,2,1,No-borrow/share,More than 2 hrs,3.0,5.0,3.0,5.0,Yes,"Yes, once",Nothing-come regularly,Medium,Often,Never,5.0,1 activity,0
SHI,Peri-urban,Private,Both,Male,14.0,JHS1,2,67.0,71.0,69.0,69.0,63.0,68.0,64.0,68,65.75,0,No,Less than 15 min,Walk,Yes,SHS,Employed,4,1,Yes-some subjects,More than 2 hrs,3.0,5.0,4.0,4.0,Yes,No,Work to earn,Medium,Sometimes,Once,3.0,,0
AYED_RC,Rural,Public,Both,Male,13.0,JHS2,0,72.0,77.0,70.0,73.0,49.0,50.0,59.0,51,52.25,1,No,Less than 15 min,Walk,Yes,SHS,Employed,1,1,No-borrow/share,More than 2 hrs,2.0,4.0,3.0,3.0,Yes,No,Work to earn,Medium,Always,More than 3 times,3.0,,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,85.0,89.0,89.0,87.66666666666667,86.0,63.0,71.0,85,76.25,1,Unknown,15-30 min,Walk,Don't know,JHS,Farming/fishing,1,1,Yes-some subjects,More than 2 hrs,3.0,5.0,3.0,5.0,No,No,Nothing-come regularly,Low,Sometimes,Never,5.0,1 activity,0
AYED_RC,Rural,Public,Both,Female,11.2,P4,1.3,70.5,67.9,74.1,70.83333333333333,61.9,68.1,54.3,68.6,63.225,1,No,15-30 min,Walk,Yes,Tertiary,Farming/fishing,2,1,Yes-some subjects,1-2 hrs,4.4,5.0,3.7,3.2,Yes,No,Work to earn,Medium,Sometimes,2-3 times,4.1,2 activities,0
KNU_JHS,Peri-urban,Public,Both,Male,14.0,JHS1,0,74.0,76.0,76.0,75.33333333333333,60.0,61.0,65.0,71,64.25,0,No,15-30 min,Car/trotro/bus,Yes,Tertiary,Employed,4,1,Yes-some subjects,More than 2 hrs,4.0,3.0,4.0,4.0,Yes,No,Work to earn,Medium,Always,Once,4.0,1 activity,0
WEWE,Rural,Public,Both,Female,12.0,P6,0,93.0,94.0,94.0,93.66666666666669,91.0,50.0,58.0,90,72.25,1,Yes,30-60 min,Walk,Yes,Tertiary,Employed,2,1,Yes-some subjects,Less than 1 hr,4.0,5.0,4.0,5.0,Yes,"Yes, once",Nothing-come regularly,Medium,Always,Once,5.0,1 activity,0
AYED_RC,Rural,Public,Both,Female,10.1,P4,0.5,81.7,78.3,79.2,79.73333333333333,63.6,69.1,62.0,61.5,64.05,1,Yes,30-60 min,Walk,Yes,Primary,Trading/market,3.2,1,Yes-some subjects,1-2 hrs,5.0,5.4,5.1,4.8,Yes,No,Nothing-come regularly,High,Sometimes,Never,4.9,1 activity,0
AYED_RC,Rural,Public,Both,Female,13.0,JHS2,1,78.0,83.0,75.0,78.66666666666667,71.0,63.0,70.0,68,68.0,1,No,Less than 15 min,Car/trotro/bus,Yes,Tertiary,Farming/fishing,4,1,No-borrow/share,1-2 hrs,4.0,3.0,3.0,4.0,Yes,No,Help at home,Medium,Often,Never,4.0,,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,86.0,99.0,99.0,94.66666666666669,87.0,62.0,91.0,76,79.0,1,No,30-60 min,Car/trotro/bus,No,Tertiary,Farming/fishing,3,1,No textbooks,1-2 hrs,5.0,5.0,5.0,5.0,No,No,Nothing-come regularly,High,Always,Never,5.0,1 activity,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,93.0,91.0,91.0,91.66666666666669,92.0,55.0,93.0,55,73.75,1,Yes,30-60 min,Car/trotro/bus,Don't know,Tertiary,Skilled trade,1,1,Yes-some subjects,More than 2 hrs,3.0,5.0,3.0,5.0,No,No,Nothing-come regularly,Medium,Always,Never,5.0,1 activity,0
AYED_RC,Rural,Public,Both,Female,12.2,JHS1,0,81.6,94.6,89.3,88.5,58.1,68.7,73.4,68.4,67.15,1,No,15-30 min,Car/trotro/bus,Yes,SHS,Skilled trade,4.2,1,Yes-some subjects,More than 2 hrs,5.2,3.9,3.0,3.4,Yes,No,Help at home,Medium,Always,Once,3.4,1 activity,0
WEWE,Rural,Public,Both,Female,6.0,P4,0,79.1,81.4,84.9,81.8,66.3,57.4,69.4,68,65.275,1,No,Less than 15 min,Car/trotro/bus,Yes,SHS,Skilled trade,3.3,1,Yes-some subjects,More than 2 hrs,1.4,2.8,2.6,3.7,Yes,No,Work to earn,Medium,Often,Once,2.0,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Male,13.6,JHS1,0,76.6,71.6,71.6,74.3,70.4,69.3,61.9,71.7,68.325,0,No,15-30 min,Car/trotro/bus,Yes,SHS,Skilled trade,1.7,1,No-borrow/share,1-2 hrs,2.7,4.6,3.5,3.9,Yes,No,Work to earn,Medium,Often,Never,4.2,1 activity,0
KNU_JHS,Peri-urban,Public,Questionnaire,Female,11.0,JHS2,0,81.0,70.0,81.0,77.33333333333333,56.0,76.0,72.0,60,66.0,0,Yes,15-30 min,Car/trotro/bus,Yes,Tertiary,Employed,0,1,"Yes , for some",1-2 hrs,3.5,3.0,3.0,3.0,No,No,Other,Medium,Always,Never,4.0,2 activities,0
KNU_JHS,Peri-urban,Public,Both,Female,13.3,JHS2,0.5,79.3,88.7,86.1,83.4,80.8,87.7,85.3,87.2,85.25,0,No,15-30 min,Walk,Yes,Tertiary,Employed,2.2,1,Yes-some subjects,1-2 hrs,5.1,2.7,3.2,4.2,No,No,Nothing-come regularly,High,Sometimes,Never,2.5,1 activity,0
KNU_JHS,Peri-urban,Public,Questionnaire,Female,12.0,JHS2,0,79.0,85.0,76.0,80.0,75.0,85.0,67.0,74,75.25,0,No,15-30 min,Car/trotro/bus,No,Tertiary,Employed,3,1,Yes-all subjects,Less than 1 hr,4.0,5.0,4.0,1.0,yes,No,Nothing-come regularly,Medium,Sometimes,Never,4.0,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Male,11.3,JHS2,0.1,90.6,91.1,90.2,88.4,91.6,62.0,78.0,70.4,75.5,0,No,Less than 15 minutes,Walk,No,Tertiary,Employed,3,1,Yes-all subjects,More than 2 hrs,5.6,1.1,5.4,4.6,no,No,Nothing-come regularly,Medium,Always,Never,4.5,2 activities,0
KNU_JHS,Peri-urban,Public,Both,Female,12.0,P6,0,88.0,94.0,87.0,89.66666666666667,81.0,82.0,93.0,84,85.0,0,No,15-30 min,Car/trotro/bus,Yes,Tertiary,Skilled trade,4,1,Yes-all subjects,More than 2 hrs,4.0,5.0,4.0,4.0,No,No,Nothing-come regularly,High,Often,Never,4.0,2 activities,0
KNU_JHS,Peri-urban,Public,Both,Male,13.0,JHS1,1,70.0,75.0,66.0,70.33333333333333,45.0,47.0,56.0,47,48.75,0,No,Less than 15 min,Walk,No,SHS,Skilled trade,3,1,Yes-some subjects,More than 2 hrs,3.0,4.0,3.0,4.0,Yes,No,Work to earn,Medium,Always,Once,4.0,1 activity,1
WEWE,Rural,Public,Both,Female,6.0,P4,2,20.0,37.0,0.0,19.0,25.0,18.0,24.0,36,25.75,1,No,More than 1 hour,Walk,No,JHS,No paid work,0,0,No-borrow/share,Less than 1 hr,2.0,4.0,2.0,1.0,Yes,Yes-once,Long distance/transport,Low,Never,Never,2.0,,1
WEWE,Rural,Public,Both,Male,6.0,P4,0,88.0,92.0,92.0,90.66666666666669,94.0,73.0,61.0,62,72.5,1,Yes,15-30 min,Car/trotro/bus,Don't know,Tertiary,Not collected,2,1,Yes-some subjects,1-2 hrs,3.0,3.0,3.0,3.0,No,No,Nothing-come regularly,Medium,Always,Once,3.0,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Female,13.0,JHS1,0,86.0,82.0,89.0,85.66666666666667,69.0,70.0,75.0,75,72.25,0,No,Less than 15 min,Car/trotro/bus,Yes,Tertiary,Skilled trade,1,1,Yes-some subjects,1-2 hrs,3.0,4.0,5.0,5.0,Yes,No,Work to earn,Medium,Sometimes,Once,4.0,,0
SHI,Peri-urban,Private,Both,Male,12.0,JHS1,0,82.0,86.0,80.0,82.66666666666667,73.0,68.0,69.0,72,70.5,0,No,Less than 15 min,Car/trotro/bus,Yes,SHS,Skilled trade,2,1,Yes-some subjects,More than 2 hrs,3.0,4.0,5.0,4.0,Yes,No,Work to earn,Medium,Sometimes,Never,4.0,1 activity,0
WEWE,Rural,Public,Both,Female,5.0,P4,2,20.0,37.0,0.0,19.0,25.0,15.0,33.0,33,26.5,1,No,More than 1 hour,Walk,No,Primary,No paid work,10,0,No textbooks,Less than 1 hr,2.0,1.0,1.0,1.0,Yes,Yes-more than once,Nothing-come regularly,Low,Sometimes,Once,2.0,,1
WEWE,Rural,Public,Both,Female,13.0,JHS2,0,85.0,89.0,89.0,87.66666666666667,80.0,92.0,87.0,64,80.75,1,Yes,15-30 min,Car/trotro/bus,Don't know,SHS,Skilled trade,2,1,Yes-some subjects,More than 2 hrs,3.0,3.0,3.0,3.0,No,No,Nothing-come regularly,High,Sometimes,Never,3.0,2 activities,0
WEWE,Rural,Public,Both,Female,13.0,JHS2,0,89.0,89.0,89.0,89.0,60.0,93.0,85.0,67,76.25,1,Yes,30-60 min,Walk,Yes,Tertiary,Trading/market,2,1,Yes-some subjects,More than 2 hrs,3.0,5.0,3.0,5.0,No,"Yes, more than once",Nothing-come regularly,Medium,Always,Never,5.0,2 activities,0
KNU_JHS,Peri-urban,Public,Both,Male,12.0,P6,0,86.0,87.0,92.0,88.33333333333333,68.0,66.0,78.0,79,72.75,0,No,15-30 min,Walk,No,Tertiary,Employed,2,1,Yes-all subjects,1-2 hrs,4.0,4.0,3.0,3.0,Yes,Yes-once,Help at home,High,Sometimes,Once,4.0,1 activity,0
WEWE,Rural,Public,Both,Male,12.0,JHS1,0,94.0,94.0,94.0,94.0,69.0,45.0,71.0,72,64.25,1,Yes,More than 1 hour,Car/trotro/bus,Yes,JHS,Skilled trade,4,0,No-borrow/share,More than 2 hrs,3.0,3.0,3.0,3.0,No,"Yes, more than once",Nothing-come regularly,Low,Sometimes,Never,3.0,,0
KNU_JHS,Peri-urban,Public,Both,Female,12.1,JHS1,1.2,92.4,86.8,93.2,91.4,61.2,66.6,71.8,70.4,67.5,0,No,Don't know,Walk,Yes,SHS,Farming/fishing,3.2,1,Yes-some subjects,More than 2 hrs,4.1,5.0,3.8,5.2,No,Yes-once,Nothing-come regularly,Medium,Always,Never,4.5,2 activities,0
WEWE,Rural,Public,Both,Male,8.0,P5,0.7,79.9,81.8,85.5,82.39999999999999,65.4,68.7,60.8,64.8,64.92500000000001,1,No,Less than 15 min,Walk,Yes,Tertiary,Trading/market,1.9,1,Yes-some subjects,More than 2 hrs,3.4,3.0,3.7,4.0,Yes,No,Work to earn,Medium,Often,Never,4.0,1 activity,0
SHI,Peri-urban,Private,Both,Female,14.1,JHS2,0,81.3,84.8,90.3,85.46666666666665,64.3,71.7,60.5,62.3,64.7,0,No,Less than 15 min,Car/trotro/bus,Yes,Tertiary,Trading/market,1.6,1,Yes-some subjects,More than 2 hrs,3.5,2.5,3.9,4.0,Yes,No,Work to earn,Medium,Often,Never,4.5,1 activity,0
WEWE,Rural,Public,Both,Male,10.0,P5,0.5,86.4,89.6,83.2,86.39999999999999,62.2,58.5,59.6,64.5,61.2,1,No,Less than 15 min,Walk,No,JHS,Farming/fishing,3,1,Yes-some subjects,1-2 hrs,4.2,3.4,4.6,4.8,Yes,No,Work to earn,Medium,Rarely,Once,4.1,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Male,12.9,JHS2,0.1,85.6,85.6,80.3,79.0,68.1,64.1,64.0,78.7,68.725,0,No,More than 1 hour,Car/trotro/bus,No,Tertiary,Employed,2.1,1,Yes-all subjects,More than 2 hrs,3.9,5.1,5.0,4.8,No,Yes-once,Nothing-come regularly,High,Always,Never,5.6,2 activities,0
KNU_JHS,Peri-urban,Public,Both,Male,9.1,P4,0.1,75.0,77.7,74.4,76.6,63.3,67.3,53.2,57.4,60.3,0,No,15-30 min,Walk,Yes,JHS,Farming/fishing,3,1,No-borrow/share,1-2 hrs,4.4,4.9,5.3,4.8,Yes,No,Help at home,Medium,Rarely,Once,5.0,2 activities,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,97.0,90.0,90.0,92.33333333333331,85.0,84.0,71.0,85,81.25,1,Unknown,More than 1 hour,Car/trotro/bus,Don't know,Tertiary,Farming/fishing,1,1,Yes-some subjects,1-2 hrs,3.0,2.0,3.0,2.0,No,No,Nothing-come regularly,High,Always,Never,2.0,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Female,12.6,JHS2,0,93.0,80.6,81.6,83.1,67.3,69.5,60.0,69.8,66.65,0,No,Less than 15 min,Walk,No,Tertiary,Employed,1.2,1,Yes-all subjects,1-2 hrs,1.4,3.5,4.5,5.4,no,No,Nothing-come regularly,High,Sometimes,Never,4.2,3 activities,0
WEWE,Rural,Public,Both,Female,6.0,P4,0.7,83.5,86.0,82.6,84.03333333333333,78.8,72.1,81.3,84,79.05,1,No,Less than 15 min,Car/trotro/bus,No,Tertiary,Trading/market,5.2,1,Yes-some subjects,More than 2 hrs,3.9,4.1,4.6,2.7,Yes,No,Nothing-come regularly,Medium,Often,Once,4.1,2 activities,0
KNU_JHS,Peri-urban,Public,Both,Male,13.4,JHS2,0.3,85.1,87.4,93.1,95.6,85.0,93.8,87.6,89.7,89.02499999999999,0,No,15-30 min,Walk,Yes,Tertiary,Employed,4.6,1,Yes-all subjects,More than 2 hrs,4.2,5.2,4.2,4.4,No,No,Nothing-come regularly,High,Sometimes,Never,3.1,1 activity,0
WEWE,Rural,Public,Both,Female,12.0,P6,0,86.0,95.0,95.0,92.0,64.0,70.0,78.0,43,63.75,1,Yes,Less than 15 min,Car/trotro/bus,Yes,Tertiary,Employed,2,1,Yes-some subjects,1-2 hrs,3.0,5.0,3.0,5.0,Yes,No,Nothing-come regularly,High,Always,Once,5.0,,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,89.0,89.0,89.0,89.0,84.0,87.0,91.0,79,85.25,1,Unknown,30-60 min,Car/trotro/bus,Don't know,Tertiary,Trading/market,1,1,Yes-some subjects,Less than 1 hr,3.0,3.0,3.0,3.0,No,No,Nothing-come regularly,Medium,Never,Never,3.0,1 activity,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,86.0,95.0,95.0,92.0,76.0,41.0,76.0,53,61.5,1,Unknown,30-60 min,Walk,Don't know,Tertiary,Trading/market,1,1,Yes-some subjects,More than 2 hrs,3.0,5.0,3.0,5.0,No,"Yes, more than once",Nothing-come regularly,Medium,Always,Once,5.0,,0
AYED_RC,Rural,Public,Both,Female,10.0,P4,0,84.0,82.0,86.0,84.0,78.0,74.0,67.0,77,74.0,1,No,Less than 15 min,Walk,Yes,Tertiary,Farming/fishing,2,1,Yes-some subjects,1-2 hrs,5.0,4.0,5.0,5.0,Yes,No,Help at home,Medium,Always,Never,4.0,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Female,13.0,JHS1,0,88.0,93.0,93.0,91.33333333333331,89.0,82.0,84.0,81,84.0,0,No,Less than 15 min,Car/trotro/bus,No,Tertiary,Farming/fishing,4,1,Yes-some subjects,1-2 hrs,3.0,4.0,5.0,4.0,Yes,No,Nothing-come regularly,Medium,Sometimes,Once,4.0,,0
WEWE,Rural,Public,Both,Male,12.0,JHS1,0,88.0,92.0,92.0,90.66666666666669,67.0,75.0,78.0,56,69.0,1,Yes,30-60 min,Car/trotro/bus,Yes,JHS,Farming/fishing,2,0,Yes-some subjects,1-2 hrs,5.0,5.0,5.0,5.0,No,"Yes, once",Nothing-come regularly,Medium,Always,Never,5.0,,0
KNU_JHS,Peri-urban,Public,Questionnaire,Female,13.0,JHS2,0,70.0,71.0,82.0,74.33333333333333,72.0,59.0,75.0,53,64.75,0,Yes,15-30 min,Car/trotro/bus,Yes,Tertiary,Employed,1,1,"Yes , for all subjects",1-2 hrs,4.5,5.0,3.0,4.0,No,No,Nothing-come regularly,Don't know,Never,Never,3.0,2 activities,0
KNU_JHS,Peri-urban,Public,Both,Female,9.5,JHS1,0,79.9,97.4,83.0,87.3,78.0,72.5,57.9,81.7,72.525,0,Unknown,30-60 min,Walk,Don't know,Don't know,Employed,4.3,1,Yes-some subjects,Less than 1 hr,5.2,3.7,5.2,1.7,No,"Yes, more than once",Nothing-come regularly,Medium,Sometimes,Never,4.0,2 activities,0
AYED_RC,Rural,Public,Both,Female,10.0,P5,0,79.0,87.0,97.0,87.66666666666667,71.0,71.0,64.0,61,66.75,1,No,More than 1 hour,Walk,No,JHS,Employed,2,1,Yes-some subjects,Less than 1 hr,5.0,5.0,5.0,5.0,Yes,No,Nothing-come regularly,High,Always,Never,5.0,1 activity,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,96.0,93.0,93.0,94.0,58.0,74.0,81.0,76,72.25,1,Yes,30-60 min,Car/trotro/bus,Yes,SHS,Trading/market,3,1,Yes-some subjects,More than 2 hrs,3.0,3.0,3.0,3.0,No,No,Nothing-come regularly,Don't know,Sometimes,Never,3.0,1 activity,0
WEWE,Rural,Public,Both,Male,13.0,JHS2,0,97.0,98.0,98.0,97.66666666666669,74.0,51.0,63.0,59,61.75,1,Yes,More than 1 hour,Car/trotro/bus,Don't know,Tertiary,Farming/fishing,4,1,Yes-all subjects,More than 2 hrs,3.0,5.0,3.0,5.0,Yes,No,Nothing-come regularly,Don't know,Sometimes,Never,5.0,1 activity,0
SHI,Peri-urban,Private,Both,Male,12.9,JHS2,0.1,78.6,77.3,86.4,80.76666666666667,70.1,69.7,77.5,72.1,72.35,0,No,30-60 min,Car/trotro/bus,Yes,SHS,Farming/fishing,4.9,1,Yes-some subjects,More than 2 hrs,4.4,3.7,5.3,4.8,Yes,No,Long distance/transport,Medium,Sometimes,Once,3.8,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Female,13.9,JHS1,0,71.2,70.4,69.1,71.3,46.1,51.6,50.1,49.3,49.275000000000006,0,No,Less than 15 min,Walk,No,SHS,Farming/fishing,1.7,1,No textbooks,More than 2 hrs,2.9,2.6,3.5,2.7,Yes,Yes-more than once,Work to earn,Low,Sometimes,Once,1.8,1 activity,1
WEWE,Rural,Public,Both,Female,8.0,P5,0,90.0,71.0,77.0,79.33333333333333,70.0,69.0,64.0,76,69.75,1,No,15-30 min,Car/trotro/bus,No,Tertiary,Employed,5,1,Yes-all subjects,1-2 hrs,5.0,1.0,5.0,1.0,No,No,Nothing-come regularly,Medium,Always,Never,5.0,1 activity,0
AYED_RC,Rural,Public,Both,Female,10.0,P4,0,86.0,84.0,79.0,83.0,66.0,54.0,68.0,59,61.75,1,Yes,15-30 min,Car/trotro/bus,Yes,JHS,No paid work,4,1,Yes-some subjects,Less than 1 hr,4.0,3.0,5.0,5.0,No,No,Nothing-come regularly,Low,Sometimes,Never,5.0,,0
WEWE,Rural,Public,Both,Male,12.0,JHS1,0,96.0,90.0,90.0,92.0,88.0,94.0,83.0,89,88.5,1,No,30-60 min,Car/trotro/bus,No,Tertiary,Skilled trade,3,1,Yes-some subjects,1-2 hrs,3.0,3.0,3.0,3.0,Yes,No,Nothing-come regularly,Medium,Always,Never,3.0,1 activity,0
KNU_JHS,Peri-urban,Public,Both,Female,14.0,JHS2,0,77.0,83.0,74.0,78.0,72.0,60.0,69.0,72,68.25,0,No,Less than 15 min,Car/trotro/bus,Yes,Tertiary,Trading/market,3,1,No-borrow/share,More than 2 hrs,4.0,5.0,3.0,2.0,Yes,No,Work to earn,Medium,Always,Never,2.0,,0
KNU_JHS,Peri-urban,Public,Both,Male,10.0,P5,0,86.0,78.0,83.0,82.33333333333333,79.0,73.0,75.0,77,76.0,0,No,Less than 15 min,Car/trotro/bus,Yes,Tertiary,Employed,3,1,Yes-some subjects,More than 2 hrs,3.0,5.0,4.0,4.0,Yes,No,Work to earn,Medium,Always,Once,5.0,2 activities,0
WEWE,Rural,Public,Both,Male,7.0,P4,0.1,77.8,80.5,83.4,80.56666666666668,70.7,56.7,76.3,65.1,67.19999999999999,1,No,Less than 15 min,Car/trotro/bus,Yes,SHS,Skilled trade,2.7,1,Yes-some subjects,More than 2 hrs,1.7,2.8,3.0,4.0,Yes,No,Work to earn,Medium,Often,Once,1.9,1 activity,0
WEWE,Rural,Public,Both,Female,11.0,P5,0,85.0,87.0,90.0,87.33333333333333,68.0,57.0,57.0,63,61.25,1,No,Less than 15 min,Walk,Yes,JHS,Farming/fishing,2,1,No-borrow/share,Less than 1 hr,4.0,3.0,4.0,3.0,Yes,No,Help at home,Medium,Often,Once,2.0,,0
KNU_JHS,Peri-urban,Public,Both,Male,13.0,JHS2,0,75.0,70.0,75.0,73.33333333333333,61.0,56.0,54.0,53,56.0,0,No,15-30 min,Walk,Yes,JHS,Trading/market,2,1,Yes-some subjects,Less than 1 hr,4.0,4.0,3.0,4.0,Yes,No,Help at home,Medium,Often,More than 3 times,2.0,1 activity,0
